subset,subset_scores,delta_val,fairness_goal,utility_ratio,method,fairness_ratio,wall_time,total_positions_seen,position_seen_prop,group_0,group_1,group_0_val,group_1_val,group_0_cnt,group_1_cnt,sa_count,ra_count,data_name,group_0_avg_exp,group_1_avg_exp
"[ 2404 40916 42252 35060  1190  2562 34166   352  3579 19471 32695 36294
 33778   120 49801 47936 15015 12910 20437 25339 32560  3054  2809 31136
 47605  2805 17337  2817 17811 14526  1483 16497 30345 46976 38611 29309
 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445 20248
 47597 40943 36466  6751 37266 40521 41260  8610 49358 37682  8110 42218
 32381 34323 48459  4394 19120  2844 33113 38090 12501  9335 35304 25609
 29821 33340 49079 43307  4206 16030 24593 46377 16701 16002 12637  7443
 34017 33710  4655 18996 13577 49857  4917 23892 33794 25901 27359 40423
 31664 19148 49618 43043]","[13.36892872 12.64969967 12.29067094 11.52364546 11.46867587 11.41685635
 11.19545533 11.18574655 11.17667833 11.14001071 11.12171403 11.10511898
 10.92537109 10.85378296 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.46820115 10.46175221 10.4401291
 10.42949547 10.33526214 10.33317549 10.33249074 10.31786804 10.27704913
 10.25028751 10.22755709 10.21710856 10.19964265 10.19502239 10.18617701
 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667  9.98134733
  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146  9.92010598
  9.8949143   9.89089183  9.88470695  9.8816837   9.85803052  9.85295836
  9.84747963  9.84391815  9.80542813  9.80228863  9.79220114  9.77952352
  9.73616447  9.72474125  9.71701572  9.69939255  9.64974796  9.63895001
  9.61936508  9.61690849  9.60657948  9.53871753  9.53433683  9.52653918
  9.5025686   9.47634821  9.45111435  9.44297216  9.41873028  9.41589453
  9.39275361  9.38902552  9.38138787  9.38015406  9.37126426  9.36769216
  9.31520882  9.2657386   9.26383707  9.21583172  9.21443146  9.19100262
  9.18617661  9.18596629  9.18121335  9.16711438  9.14212824  9.14124508
  9.13643526  9.12894299  9.1251375   9.12216898]",1.0,equal,1.0,fagins,0.26582278481012656,80.52343773841858,499690,0.99938,a,b,0.79,0.21,79,21,26857,231120,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682  2404  1190  2562
   352  3579   120  3054  2809  2805  2817  1483  6751  8610  8110  4394
  2844  9335  4206  7443  4655  4917  8547   489   757  5566  9904  3121
  9378  8320  7034  3034  2935   641  6206  9985  2380  9542  9668   143
  5514  7204  2845   765  9524  6098 42218 32381 34323 48459 19120 33113
 38090 12501 35304 25609]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863 13.36892872 11.46867587 11.41685635
 11.18574655 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214
 10.33249074 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255
  9.63895001  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661
  9.11221358  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582
  8.96506043  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577
  8.76544165  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475
  8.61280193  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152
  9.77952352  9.73616447  9.72474125  9.71701572  9.64974796  9.61936508
  9.61690849  9.60657948  9.53433683  9.52653918]",0.1,equal,0.9886933267483142,fair-fagins,0.8181818181818181,83.87099227905273,499840,0.99968,a,b,0.55,0.45,55,45,29053,209310,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381  2404
  1190  2562   352  3579   120  3054  2809  2805  2817  1483  6751  8610
  8110  4394  2844  9335  4206  7443  4655  4917  8547   489   757  5566
  9904  3121  9378  8320  7034  3034  2935   641  6206  9985  2380  9542
  9668   143  5514  7204  2845   765  9524  6098  6899  4808 34323 48459
 19120 33113 38090 12501]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447 13.36892872
 11.46867587 11.41685635 11.18574655 11.17667833 10.85378296 10.46820115
 10.46175221 10.33526214 10.33249074 10.25028751  9.8816837   9.84391815
  9.79220114  9.69939255  9.63895001  9.53871753  9.41873028  9.36769216
  9.26383707  9.18617661  9.11221358  9.08318384  9.07612911  9.07240582
  9.05128738  8.97617582  8.96506043  8.95496851  8.94243906  8.93749489
  8.91561565  8.90781577  8.76544165  8.76048322  8.70889338  8.64743064
  8.64238004  8.63190475  8.61280193  8.54904179  8.53862858  8.53431677
  8.52523741  8.47040152  8.44686958  8.418511    9.72474125  9.71701572
  9.64974796  9.61936508  9.61690849  9.60657948]",0.05,equal,0.9865070399507869,fair-fagins,0.8867924528301886,83.9724169254303,499850,0.9997,a,b,0.53,0.47,53,47,29177,208080,gauss,n/a,n/a
"[40916 42252 35060 34166 19471 32695 36294 33778 49801 47936 15015 12910
 20437 25339 32560 31136 47605 17337 17811 14526 16497 30345 46976 38611
 29309 15790 31636 45845 20892 30508 34814 13275 20240 21542 34843 47445
 20248 47597 40943 36466 37266 40521 41260 49358 37682 42218 32381 34323
 48459 19120  2404  1190  2562   352  3579   120  3054  2809  2805  2817
  1483  6751  8610  8110  4394  2844  9335  4206  7443  4655  4917  8547
   489   757  5566  9904  3121  9378  8320  7034  3034  2935   641  6206
  9985  2380  9542  9668   143  5514  7204  2845   765  9524  6098  6899
  4808  3069  3036   476]","[12.64969967 12.29067094 11.52364546 11.19545533 11.14001071 11.12171403
 11.10511898 10.92537109 10.81373935 10.72839422 10.69888577 10.63303959
 10.57093435 10.48208303 10.47009255 10.4401291  10.42949547 10.33317549
 10.31786804 10.27704913 10.22755709 10.21710856 10.19964265 10.19502239
 10.18617701 10.10983039 10.10762949 10.08311203 10.08060847  9.99545667
  9.98134733  9.97451593  9.94784867  9.94697788  9.93269957  9.92615146
  9.92010598  9.8949143   9.89089183  9.88470695  9.85803052  9.85295836
  9.84747963  9.80542813  9.80228863  9.77952352  9.73616447  9.72474125
  9.71701572  9.64974796 13.36892872 11.46867587 11.41685635 11.18574655
 11.17667833 10.85378296 10.46820115 10.46175221 10.33526214 10.33249074
 10.25028751  9.8816837   9.84391815  9.79220114  9.69939255  9.63895001
  9.53871753  9.41873028  9.36769216  9.26383707  9.18617661  9.11221358
  9.08318384  9.07612911  9.07240582  9.05128738  8.97617582  8.96506043
  8.95496851  8.94243906  8.93749489  8.91561565  8.90781577  8.76544165
  8.76048322  8.70889338  8.64743064  8.64238004  8.63190475  8.61280193
  8.54904179  8.53862858  8.53431677  8.52523741  8.47040152  8.44686958
  8.418511    8.40666374  8.40510914  8.39889875]",0.0,equal,0.9828900930842579,fair-fagins,1.0,83.66534757614136,499860,0.99972,a,b,0.5,0.5,50,50,29319,206670,gauss,n/a,n/a
"[27359  2805 32695  3054 47605 37266 16497 38611 49857 17337 47597 46377
 13275 43307  4394 19148 45845  4206 37682 12910 49801  3579  7443 12637
 35304 30508 49618 49079 33778 36294 16002 20437 33113 40423  9335 41260
 31664 20240 40521 32560  8610  4655 25901 14526 42218 24593 13577 47936
  8110 31636  1190  2844 47445 17811 35060 12501 34323 38090  1483 40916
 40943 42252 34843 25339 15015 19120 29309 16701 36466  4917   352 48459
 43043 31136 34017 20248  2404  2809 21542 16030   120  2562 30345 33794
 34814 34166 23892 25609 33710 18996 49358 19471 33340 20892  2817 29821
 32381 15790 46976  6751]","[ 9.14212824 10.33526214 11.12171403 10.46820115 10.42949547  9.85803052
 10.22755709 10.19502239  9.19100262 10.33317549  9.8949143   9.38902552
  9.97451593  9.44297216  9.69939255  9.12894299 10.08311203  9.41873028
  9.80228863 10.63303959 10.81373935 11.17667833  9.36769216  9.37126426
  9.53433683  9.99545667  9.1251375   9.45111435 10.92537109 11.10511898
  9.38015406 10.57093435  9.61936508  9.14124508  9.53871753  9.84747963
  9.13643526  9.94784867  9.85295836 10.47009255  9.84391815  9.26383707
  9.16711438 10.27704913  9.77952352  9.39275361  9.21443146 10.72839422
  9.79220114 10.10762949 11.46867587  9.63895001  9.92615146 10.31786804
 11.52364546  9.60657948  9.72474125  9.61690849 10.25028751 12.64969967
  9.89089183 12.29067094  9.93269957 10.48208303 10.69888577  9.64974796
 10.18617701  9.38138787  9.88470695  9.18617661 11.18574655  9.71701572
  9.12216898 10.4401291   9.31520882  9.92010598 13.36892872 10.46175221
  9.94697788  9.41589453 10.85378296 11.41685635 10.21710856  9.18121335
  9.98134733 11.19545533  9.18596629  9.52653918  9.2657386   9.21583172
  9.80542813 11.14001071  9.47634821 10.08060847 10.33249074  9.5025686
  9.73616447 10.10983039 10.19964265  9.8816837 ]",1.0,equal,1.0,ta,0.26582278481012656,155.1703411102295,433020,0.86604,a,b,0.79,0.21,79,21,9084,743002,gauss,n/a,n/a
"[47936 17337 21542 34166 20892 38611 19471 25339 47597 20248 49358 15015
 36294 40521 40916 34814 49801 30345 47605 12910 31136 47445 37682 17811
 32695 29309 35060 20240 41260 30508 32560 45845 13275 16497 34843 14526
 33778 31636 42252 46976 20437 40943 36466 37266 15790  8547  2844   489
  9985  7034  9904  4394  3034  2805  2817  3121  8320  1483  6751  2404
  5566  2809   120  2845  3579  4206   757  7443  2562   143  8610   352
  3054  6098  2935  9524  7204  9335  9378   765  8110  2380  9668  6206
   641  5514  4917  9542  1190  4655 34323 25609 33113 48459 35304 32381
 38090 12501 42218 19120]","[10.72839422 10.33317549  9.94697788 11.19545533 10.08060847 10.19502239
 11.14001071 10.48208303  9.8949143   9.92010598  9.80542813 10.69888577
 11.10511898  9.85295836 12.64969967  9.98134733 10.81373935 10.21710856
 10.42949547 10.63303959 10.4401291   9.92615146  9.80228863 10.31786804
 11.12171403 10.18617701 11.52364546  9.94784867  9.84747963  9.99545667
 10.47009255 10.08311203  9.97451593 10.22755709  9.93269957 10.27704913
 10.92537109 10.10762949 12.29067094 10.19964265 10.57093435  9.89089183
  9.88470695  9.85803052 10.10983039  9.11221358  9.63895001  9.08318384
  8.76048322  8.94243906  9.05128738  9.69939255  8.93749489 10.33526214
 10.33249074  8.97617582  8.95496851 10.25028751  9.8816837  13.36892872
  9.07240582 10.46175221 10.85378296  8.53862858 11.17667833  9.41873028
  9.07612911  9.36769216 11.41685635  8.63190475  9.84391815 11.18574655
 10.46820115  8.47040152  8.91561565  8.52523741  8.54904179  9.53871753
  8.96506043  8.53431677  9.79220114  8.70889338  8.64238004  8.76544165
  8.90781577  8.61280193  9.18617661  8.64743064 11.46867587  9.26383707
  9.72474125  9.52653918  9.61936508  9.71701572  9.53433683  9.73616447
  9.61690849  9.60657948  9.77952352  9.64974796]",0.1,equal,0.9886933267483141,fair-ta,0.8181818181818181,169.15971093177797,446430,0.89286,a,b,0.55,0.45,55,45,9972,807698,gauss,n/a,n/a
"[17811 40943 37682 47445 47597 38611 32381 31636 21542 20892 14526 34843
 49358 16497 32695 15790 20240 20437 47936 17337 20248 34814 29309 32560
 12910 46976 37266 35060 33778 40916 15015 34166 13275 31136 30508 47605
 45845 36466 30345 19471 36294 40521 25339 41260 49801 42252 42218  5566
  5514  8547  4394  2844  6098  8610  2935  2404   352  6899  6206  2845
  2817  9985  3121   489  7034  1190  3034  9904  4917  1483  8320  9542
  2380  9524  9378  7443  2809  2562  7204  2805   765  9335   757  3054
  6751   120  4206  3579  9668  8110   641  4655  4808   143 33113 38090
 12501 34323 19120 48459]","[10.31786804  9.89089183  9.80228863  9.92615146  9.8949143  10.19502239
  9.73616447 10.10762949  9.94697788 10.08060847 10.27704913  9.93269957
  9.80542813 10.22755709 11.12171403 10.10983039  9.94784867 10.57093435
 10.72839422 10.33317549  9.92010598  9.98134733 10.18617701 10.47009255
 10.63303959 10.19964265  9.85803052 11.52364546 10.92537109 12.64969967
 10.69888577 11.19545533  9.97451593 10.4401291   9.99545667 10.42949547
 10.08311203  9.88470695 10.21710856 11.14001071 11.10511898  9.85295836
 10.48208303  9.84747963 10.81373935 12.29067094  9.77952352  9.07240582
  8.61280193  9.11221358  9.69939255  9.63895001  8.47040152  9.84391815
  8.91561565 13.36892872 11.18574655  8.44686958  8.76544165  8.53862858
 10.33249074  8.76048322  8.97617582  9.08318384  8.94243906 11.46867587
  8.93749489  9.05128738  9.18617661 10.25028751  8.95496851  8.64743064
  8.70889338  8.52523741  8.96506043  9.36769216 10.46175221 11.41685635
  8.54904179 10.33526214  8.53431677  9.53871753  9.07612911 10.46820115
  9.8816837  10.85378296  9.41873028 11.17667833  8.64238004  9.79220114
  8.90781577  9.26383707  8.418511    8.63190475  9.61936508  9.61690849
  9.60657948  9.72474125  9.64974796  9.71701572]",0.05,equal,0.9865070399507866,fair-ta,0.8867924528301886,170.35319199562073,447400,0.8948,a,b,0.53,0.47,53,47,10043,812808,gauss,n/a,n/a
"[14526 20240 21542 30345 42218 38611 42252 36294 30508 36466 48459 29309
 34814 40943 16497 13275 31136 46976 47936 32560 40521 47605 31636 20892
 19471 34323 19120 37682 34843 25339 15015 47445 17811 15790 32381 12910
 34166 49801 40916 37266 45845 20437 17337 35060 49358 41260 32695 20248
 33778 47597  7034   352  8547  3121  4394  9335  9904  9985  2380  2809
  9524  6206  9668   757  2817   143   641  9378  4808   765  5566  7443
  8110  2935  3579  2562  2844  6098  9542  2404  6751  7204  2845  4917
  4206  3054   120  3036  1483   476  2805  6899  8320  1190  4655  5514
  8610   489  3069  3034]","[10.27704913  9.94784867  9.94697788 10.21710856  9.77952352 10.19502239
 12.29067094 11.10511898  9.99545667  9.88470695  9.71701572 10.18617701
  9.98134733  9.89089183 10.22755709  9.97451593 10.4401291  10.19964265
 10.72839422 10.47009255  9.85295836 10.42949547 10.10762949 10.08060847
 11.14001071  9.72474125  9.64974796  9.80228863  9.93269957 10.48208303
 10.69888577  9.92615146 10.31786804 10.10983039  9.73616447 10.63303959
 11.19545533 10.81373935 12.64969967  9.85803052 10.08311203 10.57093435
 10.33317549 11.52364546  9.80542813  9.84747963 11.12171403  9.92010598
 10.92537109  9.8949143   8.94243906 11.18574655  9.11221358  8.97617582
  9.69939255  9.53871753  9.05128738  8.76048322  8.70889338 10.46175221
  8.52523741  8.76544165  8.64238004  9.07612911 10.33249074  8.63190475
  8.90781577  8.96506043  8.418511    8.53431677  9.07240582  9.36769216
  9.79220114  8.91561565 11.17667833 11.41685635  9.63895001  8.47040152
  8.64743064 13.36892872  9.8816837   8.54904179  8.53862858  9.18617661
  9.41873028 10.46820115 10.85378296  8.40510914 10.25028751  8.39889875
 10.33526214  8.44686958  8.95496851 11.46867587  9.26383707  8.61280193
  9.84391815  9.08318384  8.40666374  8.93749489]",0.0,equal,0.9828900930842577,fair-ta,1.0,169.7544421672821,447690,0.89538,a,b,0.5,0.5,50,50,10073,814960,gauss,n/a,n/a
"[27359  2805 32695  3054 47605 37266 16497 38611 49857 17337 47597 46377
 13275 43307  4394 19148 45845  4206 37682 12910 49801  3579  7443 12637
 35304 30508 49618 49079 33778 36294 16002 20437 33113 40423  9335 41260
 31664 20240 40521 32560  8610  4655 25901 14526 42218 24593 13577 47936
  8110 31636  1190  2844 47445 17811 35060 12501 34323 38090  1483 40916
 40943 42252 34843 25339 15015 19120 29309 16701 36466  4917   352 48459
 43043 31136 34017 20248  2404  2809 21542 16030   120  2562 30345 33794
 34814 34166 23892 25609 33710 18996 49358 19471 33340 20892  2817 29821
 32381 15790 46976  6751]","[ 9.14212824 10.33526214 11.12171403 10.46820115 10.42949547  9.85803052
 10.22755709 10.19502239  9.19100262 10.33317549  9.8949143   9.38902552
  9.97451593  9.44297216  9.69939255  9.12894299 10.08311203  9.41873028
  9.80228863 10.63303959 10.81373935 11.17667833  9.36769216  9.37126426
  9.53433683  9.99545667  9.1251375   9.45111435 10.92537109 11.10511898
  9.38015406 10.57093435  9.61936508  9.14124508  9.53871753  9.84747963
  9.13643526  9.94784867  9.85295836 10.47009255  9.84391815  9.26383707
  9.16711438 10.27704913  9.77952352  9.39275361  9.21443146 10.72839422
  9.79220114 10.10762949 11.46867587  9.63895001  9.92615146 10.31786804
 11.52364546  9.60657948  9.72474125  9.61690849 10.25028751 12.64969967
  9.89089183 12.29067094  9.93269957 10.48208303 10.69888577  9.64974796
 10.18617701  9.38138787  9.88470695  9.18617661 11.18574655  9.71701572
  9.12216898 10.4401291   9.31520882  9.92010598 13.36892872 10.46175221
  9.94697788  9.41589453 10.85378296 11.41685635 10.21710856  9.18121335
  9.98134733 11.19545533  9.18596629  9.52653918  9.2657386   9.21583172
  9.80542813 11.14001071  9.47634821 10.08060847 10.33249074  9.5025686
  9.73616447 10.10983039 10.19964265  9.8816837 ]",1.0,equal,1.0,bpa,0.26582278481012656,155.72107768058777,432950,0.8659,a,b,0.79,0.21,79,21,9079,742640,gauss,n/a,n/a
"[47936 17337 21542 34166 20892 38611 19471 25339 47597 20248 49358 15015
 36294 40521 40916 34814 49801 30345 47605 12910 31136 47445 37682 17811
 32695 29309 35060 20240 41260 30508 32560 45845 13275 16497 34843 14526
 33778 31636 42252 46976 20437 40943 36466 37266 15790  8547  2844   489
  9985  7034  9904  4394  3034  2805  2817  3121  8320  1483  6751  2404
  5566  2809   120  2845  3579  4206   757  7443  2562   143  8610   352
  3054  6098  2935  9524  7204  9335  9378   765  8110  2380  9668  6206
   641  5514  4917  9542  1190  4655 34323 25609 33113 48459 35304 32381
 38090 12501 42218 19120]","[10.72839422 10.33317549  9.94697788 11.19545533 10.08060847 10.19502239
 11.14001071 10.48208303  9.8949143   9.92010598  9.80542813 10.69888577
 11.10511898  9.85295836 12.64969967  9.98134733 10.81373935 10.21710856
 10.42949547 10.63303959 10.4401291   9.92615146  9.80228863 10.31786804
 11.12171403 10.18617701 11.52364546  9.94784867  9.84747963  9.99545667
 10.47009255 10.08311203  9.97451593 10.22755709  9.93269957 10.27704913
 10.92537109 10.10762949 12.29067094 10.19964265 10.57093435  9.89089183
  9.88470695  9.85803052 10.10983039  9.11221358  9.63895001  9.08318384
  8.76048322  8.94243906  9.05128738  9.69939255  8.93749489 10.33526214
 10.33249074  8.97617582  8.95496851 10.25028751  9.8816837  13.36892872
  9.07240582 10.46175221 10.85378296  8.53862858 11.17667833  9.41873028
  9.07612911  9.36769216 11.41685635  8.63190475  9.84391815 11.18574655
 10.46820115  8.47040152  8.91561565  8.52523741  8.54904179  9.53871753
  8.96506043  8.53431677  9.79220114  8.70889338  8.64238004  8.76544165
  8.90781577  8.61280193  9.18617661  8.64743064 11.46867587  9.26383707
  9.72474125  9.52653918  9.61936508  9.71701572  9.53433683  9.73616447
  9.61690849  9.60657948  9.77952352  9.64974796]",0.1,equal,0.9886933267483141,fair-bpa,0.8181818181818181,170.72649383544922,446370,0.89274,a,b,0.55,0.45,55,45,9967,807349,gauss,n/a,n/a
